Decade,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Total
1870,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1880,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1890,2,0,1,10,0,28,4,2,12,0,2,6,0,0,1,1,0,0,1,0,70
1900,5,5,3,30,4,12,9,1,30,0,1,9,2,0,2,5,0,2,0,1,121
1910,6,9,6,65,10,2,81,1,12,0,7,5,0,4,13,3,0,0,7,7,238
1920,27,35,12,129,25,21,257,6,24,0,16,28,8,9,101,9,0,18,13,16,754
1930,112,106,49,446,166,16,707,43,35,0,59,57,106,122,406,24,0,94,53,69,2670
1940,124,89,48,409,220,28,781,58,65,0,50,68,118,170,378,24,0,233,148,95,3106
1950,248,203,36,463,266,35,1065,78,72,2,76,134,119,84,399,154,0,229,150,225,4038
1960,372,289,57,723,256,85,1212,134,116,94,120,225,108,132,379,187,14,266,169,199,5137
1970,651,270,92,839,451,162,1508,185,147,170,116,499,121,233,302,210,70,596,117,179,6918
1980,713,390,189,1297,389,154,1553,254,307,115,103,643,158,208,542,404,54,600,111,40,8224
1990,995,485,256,1853,585,292,2613,485,362,230,153,465,150,284,995,482,128,1049,104,67,12033
2000,1720,828,579,3380,1004,1197,5282,798,569,786,316,1161,357,606,1767,740,197,2169,215,62,23733
2010,1616,784,604,3537,929,1883,5183,723,561,224,378,1370,351,612,1448,798,303,2363,235,82,23984
2020,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
